[router] Current routes
Name                                        Method       Scheme Host Path
sylius_backend_exchange_rate_create         GET|POST     ANY    ANY  /administration/exchange-rates/new
sylius_backend_exchange_rate_update         GET|PUT      ANY    ANY  /administration/exchange-rates/{id}/edit
sylius_backend_exchange_rate_delete         DELETE       ANY    ANY  /administration/exchange-rates/{id}
sylius_backend_country_index                GET          ANY    ANY  /administration/countries/
sylius_backend_country_create               GET|POST     ANY    ANY  /administration/countries/new
sylius_backend_country_update               GET|PUT      ANY    ANY  /administration/countries/{id}/edit
sylius_backend_country_delete               DELETE       ANY    ANY  /administration/countries/{id}
sylius_backend_country_show                 GET          ANY    ANY  /administration/countries/{id}
sylius_backend_province_delete              DELETE       ANY    ANY  /administration/provinces/{id}
sylius_backend_zone_index                   GET          ANY    ANY  /administration/zones/
sylius_backend_zone_create                  GET|POST     ANY    ANY  /administration/zones/new
sylius_backend_zone_update                  GET|PUT      ANY    ANY  /administration/zones/{id}/edit
sylius_backend_zone_delete                  DELETE       ANY    ANY  /administration/zones/{id}
sylius_backend_zone_show                    GET          ANY    ANY  /administration/zones/{id}
sylius_backend_zone_member_delete           DELETE       ANY    ANY  /administration/zone-members/{id}
sylius_backend_general_settings             ANY          ANY    ANY  /administration/settings/general
sylius_backend_taxation_settings            ANY          ANY    ANY  /administration/settings/taxation
sylius_backend_security_login               GET          ANY    ANY  /administration/login
sylius_backend_security_login_check         POST         ANY    ANY  /administration/login-check
sylius_backend_security_logout              GET          ANY    ANY  /administration/logout
sylius_province_choice_form                 ANY          ANY    ANY  /province/choice-form
sylius_partial_product_latest               ANY          ANY    ANY  /_partial/product/latest
_imagine_sylius_16x16                       GET          ANY    ANY  /media/cache/sylius_16x16/{path}
_imagine_sylius_50x40                       GET          ANY    ANY  /media/cache/sylius_50x40/{path}
_imagine_sylius_90x60                       GET          ANY    ANY  /media/cache/sylius_90x60/{path}
_imagine_sylius_200x200                     GET          ANY    ANY  /media/cache/sylius_200x200/{path}
_imagine_sylius_262x255                     GET          ANY    ANY  /media/cache/sylius_262x255/{path}
_imagine_sylius_310x300                     GET          ANY    ANY  /media/cache/sylius_310x300/{path}
_imagine_sylius_610x600                     GET          ANY    ANY  /media/cache/sylius_610x600/{path}
_imagine_sylius_gallery                     GET          ANY    ANY  /media/cache/sylius_gallery/{path}
payum_deprecated_capture_do                 ANY          ANY    ANY  /payment/{paymentName}/capture/{token}
payum_capture_do                            ANY          ANY    ANY  /payment/capture/{payum_token}
fos_user_security_login                     ANY          ANY    ANY  /login
fos_user_security_check                     POST         ANY    ANY  /login_check
fos_user_security_logout                    ANY          ANY    ANY  /logout
fos_user_profile_show                       GET          ANY    ANY  /account/profile/
fos_user_profile_edit                       ANY          ANY    ANY  /account/profile/edit
fos_user_registration_register              ANY          ANY    ANY  /register/
fos_user_registration_check_email           GET          ANY    ANY  /register/check-email
fos_user_registration_confirm               GET          ANY    ANY  /register/confirm/{token}
fos_user_registration_confirmed             GET          ANY    ANY  /register/confirmed
fos_user_resetting_request                  GET          ANY    ANY  /resetting/request
fos_user_resetting_send_email               POST         ANY    ANY  /resetting/send-email
fos_user_resetting_check_email              GET          ANY    ANY  /resetting/check-email
fos_user_resetting_reset                    GET|POST     ANY    ANY  /resetting/reset/{token}
fos_user_change_password                    GET|POST     ANY    ANY  /account/change-password
